Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Node6px 	 Node6py 	 Node6pz 	 Node7px 	 Node7py 	 Node7pz 	 Node8px 	 Node8py 	 Node8pz 	 Node9px 	 Node9py 	 Node9pz 	 Node10px 	 Node10py 	 Node10pz 	 Node11px 	 Node11py 	 Node11pz 	 Node12px 	 Node12py 	 Node12pz 	 Node13px 	 Node13py 	 Node13pz 	 Node14px 	 Node14py 	 Node14pz 	 Node15px 	 Node15py 	 Node15pz 	 Node16px 	 Node16py 	 Node16pz 	 Node17px 	 Node17py 	 Node17pz 	 Node18px 	 Node18py 	 Node18pz 	 Node19px 	 Node19py 	 Node19pz 	 Node20px 	 Node20py 	 Node20pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 Seg5Te 	 Seg6Te 	 Seg7Te 	 Seg8Te 	 Seg9Te 	 Seg10Te 	 Seg11Te 	 Seg12Te 	 Seg13Te 	 Seg14Te 	 Seg15Te 	 Seg16Te 	 Seg17Te 	 Seg18Te 	 Seg19Te 	 
1	 -248.3	 0	 -70	 -234.95	 0	 -70.0139	 -221.599	 0	 -70.0139	 -208.249	 0	 -70.0139	 -194.898	 0	 -70.0139	 -181.548	 0	 -70.0139	 -168.197	 0	 -70.0139	 -154.846	 0	 -70.0139	 -141.496	 0	 -70.0139	 -128.145	 0	 -70.0139	 -114.794	 0	 -70.0139	 -101.443	 0	 -70.0139	 -88.0923	 0	 -70.0139	 -74.7415	 0	 -70.0049	 -61.5577	 0	 -67.8994	 -49.5666	 0	 -62.0291	 -38.9654	 0	 -53.9133	 -29.6748	 0	 -44.3247	 -21.5283	 0	 -33.7467	 -14.3401	 0	 -22.4952	 -7.94555	 0	 -10.7742	 24245.5	 25004.7	 26506.3	 28696.5	 31457.6	 34593.4	 37839.9	 40907.8	 43540.5	 45569.2	 46941.7	 47715.9	 48022	 48624	 52916.3	 60501.9	 69963.3	 80633.3	 92075.6	 103987	 
1.1	 -248.3	 0	 -70	 -234.95	 0	 -70.0139	 -221.599	 0	 -70.0139	 -208.249	 0	 -70.0139	 -194.899	 0	 -70.0139	 -181.548	 0	 -70.0139	 -168.198	 0	 -70.0139	 -154.847	 0	 -70.0139	 -141.496	 0	 -70.0139	 -128.146	 0	 -70.0139	 -114.795	 0	 -70.0139	 -101.444	 0	 -70.0139	 -88.0938	 0	 -70.0139	 -74.7431	 0	 -70.0053	 -61.5402	 0	 -68.0242	 -49.5362	 0	 -62.1805	 -38.9373	 0	 -54.0619	 -29.6508	 0	 -44.4696	 -21.5086	 0	 -33.8884	 -14.3244	 0	 -22.6346	 -7.92303	 0	 -10.9176	 18182.4	 18972.6	 20507.2	 22686.1	 25347.5	 28271.6	 31204.5	 33899.2	 36162.4	 37889.2	 39074.6	 39796.1	 40178.9	 40809.7	 45019.8	 52241.5	 61237.2	 71442.4	 82500.4	 94156.5	 
1.2	 -248.3	 0	 -70	 -234.949	 0	 -70.0139	 -221.599	 0	 -70.0139	 -208.248	 0	 -70.0139	 -194.898	 0	 -70.0139	 -181.547	 0	 -70.0139	 -168.196	 0	 -70.0139	 -154.846	 0	 -70.0139	 -141.495	 0	 -70.0139	 -128.144	 0	 -70.0139	 -114.793	 0	 -70.0139	 -101.443	 0	 -70.0139	 -88.0917	 0	 -70.0139	 -74.7409	 0	 -70.0057	 -61.5191	 0	 -68.1544	 -49.5011	 0	 -62.3396	 -38.9043	 0	 -54.2182	 -29.6223	 0	 -44.6214	 -21.4849	 0	 -34.0366	 -14.3046	 0	 -22.7802	 -7.89685	 0	 -11.0665	 30964.6	 31616.2	 32863.3	 34593.2	 36641.3	 38805.3	 40871.1	 42647.3	 43997.1	 44858.1	 45242.6	 45219.9	 44888.6	 44785.3	 48392.5	 55344	 64170.3	 74248	 85206.3	 96778.5	 
1.3	 -248.3	 0	 -70	 -234.949	 0	 -70.0139	 -221.599	 0	 -70.0139	 -208.248	 0	 -70.0139	 -194.897	 0	 -70.0139	 -181.546	 0	 -70.0139	 -168.195	 0	 -70.0139	 -154.845	 0	 -70.0139	 -141.494	 0	 -70.0139	 -128.143	 0	 -70.0139	 -114.792	 0	 -70.0139	 -101.441	 0	 -70.0139	 -88.0903	 0	 -70.0139	 -74.7394	 0	 -70.0059	 -61.5005	 0	 -68.2809	 -49.4656	 0	 -62.5008	 -38.8696	 0	 -54.3784	 -29.5921	 0	 -44.7773	 -21.4593	 0	 -34.1888	 -14.2821	 0	 -22.9303	 -7.86792	 0	 -11.2202	 40181.7	 40695.2	 41669.6	 43001.8	 44545.3	 46126.3	 47566.6	 48712.2	 49457	 49756.5	 49625.1	 49121.1	 48325.2	 47722.5	 50913.3	 57703.1	 66444.8	 76464.6	 87377.1	 98898.8	 
1.4	 -248.3	 0	 -70	 -234.949	 0	 -70.0139	 -221.599	 0	 -70.0139	 -208.248	 0	 -70.0139	 -194.898	 0	 -70.0139	 -181.547	 0	 -70.0139	 -168.197	 0	 -70.0139	 -154.846	 0	 -70.0139	 -141.495	 0	 -70.0139	 -128.144	 0	 -70.0139	 -114.794	 0	 -70.0139	 -101.443	 0	 -70.0139	 -88.0922	 0	 -70.0139	 -74.7415	 0	 -70.0062	 -61.4877	 0	 -68.3997	 -49.4327	 0	 -62.662	 -38.8353	 0	 -54.5415	 -29.5616	 0	 -44.9367	 -21.4331	 0	 -34.345	 -14.258	 0	 -23.0854	 -7.83711	 0	 -11.3789	 28759.6	 29383.8	 30576.2	 32227	 34180.6	 36251.3	 38248.5	 40005.8	 41405.9	 42394.5	 42978.5	 43209.2	 43160.6	 43224.9	 46904	 53954.3	 62851.5	 72955.1	 83897	 95392.5	 
1.5	 -248.3	 0	 -70	 -234.95	 0	 -70.0139	 -221.6	 0	 -70.0139	 -208.249	 0	 -70.0139	 -194.899	 0	 -70.0139	 -181.549	 0	 -70.0139	 -168.198	 0	 -70.0139	 -154.848	 0	 -70.0139	 -141.497	 0	 -70.0139	 -128.146	 0	 -70.0139	 -114.796	 0	 -70.0139	 -101.445	 0	 -70.0139	 -88.0945	 0	 -70.0139	 -74.7438	 0	 -70.0066	 -61.476	 0	 -68.5212	 -49.3994	 0	 -62.8291	 -38.7995	 0	 -54.7119	 -29.5295	 0	 -45.1037	 -21.405	 0	 -34.509	 -14.2309	 0	 -23.2487	 -7.8052	 0	 -11.545	 13572.4	 14436.8	 16110.9	 18481.1	 21372.3	 24557.6	 27783.2	 30806.3	 33436.6	 35563.8	 37165.9	 38292.2	 39033.9	 39740.3	 43875.6	 51229.5	 60349.3	 70602.6	 81618.7	 93099.3	 
1.6	 -248.3	 0	 -70	 -234.95	 0	 -70.0139	 -221.599	 0	 -70.0139	 -208.249	 0	 -70.0139	 -194.899	 0	 -70.0139	 -181.548	 0	 -70.0139	 -168.198	 0	 -70.0139	 -154.847	 0	 -70.0139	 -141.497	 0	 -70.0139	 -128.146	 0	 -70.0139	 -114.796	 0	 -70.0139	 -101.445	 0	 -70.0139	 -88.0941	 0	 -70.0139	 -74.7433	 0	 -70.007	 -61.4612	 0	 -68.6548	 -49.3637	 0	 -63.0073	 -38.7607	 0	 -54.894	 -29.4945	 0	 -45.2821	 -21.374	 0	 -34.6842	 -14.2003	 0	 -23.4236	 -7.77298	 0	 -11.7207	 14767	 15511.2	 17004.1	 19230.3	 22119	 25516.3	 29181.6	 32817.4	 36123.9	 38860.9	 40893.5	 42206	 42881.5	 43283.4	 47137.1	 54540.9	 63811.7	 74223.9	 85347.1	 96832.4	 
1.7	 -248.3	 0	 -70	 -234.95	 0	 -70.0139	 -221.599	 0	 -70.0139	 -208.249	 0	 -70.0139	 -194.898	 0	 -70.0139	 -181.548	 0	 -70.0139	 -168.197	 0	 -70.0139	 -154.847	 0	 -70.0139	 -141.496	 0	 -70.0139	 -128.145	 0	 -70.0139	 -114.795	 0	 -70.0139	 -101.444	 0	 -70.0139	 -88.0931	 0	 -70.0139	 -74.7422	 0	 -70.0074	 -61.4463	 0	 -68.7985	 -49.3279	 0	 -63.1957	 -38.721	 0	 -55.0875	 -29.458	 0	 -45.4723	 -21.3412	 0	 -34.8715	 -14.1672	 0	 -23.611	 -7.7414	 0	 -11.9072	 21807.6	 22262.2	 23225.8	 24774.9	 26956.7	 29736.3	 32966.6	 36393.3	 39696.7	 42561.3	 44745.7	 46132.5	 46738.3	 46878.5	 50507.1	 58026.9	 67504.4	 78119.9	 89379.1	 100882	 
1.8	 -248.3	 0	 -70	 -234.95	 0	 -70.0139	 -221.599	 0	 -70.0139	 -208.249	 0	 -70.0139	 -194.899	 0	 -70.0139	 -181.548	 0	 -70.0139	 -168.198	 0	 -70.0139	 -154.847	 0	 -70.0139	 -141.497	 0	 -70.0139	 -128.146	 0	 -70.0139	 -114.795	 0	 -70.0139	 -101.445	 0	 -70.0139	 -88.0938	 0	 -70.0139	 -74.7431	 0	 -70.0078	 -61.4344	 0	 -68.9475	 -49.2946	 0	 -63.3914	 -38.6822	 0	 -55.2905	 -29.4216	 0	 -45.673	 -21.3078	 0	 -35.07	 -14.1329	 0	 -23.8102	 -7.71153	 0	 -12.1039	 19345.4	 19686.2	 20434.7	 21692.6	 23543.7	 25998.7	 28958.7	 32211.9	 35467.9	 38420.2	 40817.5	 42518.7	 43511.3	 44031.3	 47913.8	 55633.2	 65267.7	 75991.2	 87288.4	 98746.3	 
1.9	 -248.3	 0	 -70	 -234.95	 0	 -70.0139	 -221.599	 0	 -70.0139	 -208.249	 0	 -70.0139	 -194.899	 0	 -70.0139	 -181.549	 0	 -70.0139	 -168.198	 0	 -70.0139	 -154.848	 0	 -70.0139	 -141.497	 0	 -70.0139	 -128.147	 0	 -70.0139	 -114.796	 0	 -70.0139	 -101.446	 0	 -70.0139	 -88.0949	 0	 -70.0139	 -74.7442	 0	 -70.0082	 -61.4242	 0	 -69.1032	 -49.2629	 0	 -63.5945	 -38.6439	 0	 -55.5024	 -29.3849	 0	 -45.8835	 -21.2733	 0	 -35.2788	 -14.0973	 0	 -24.0197	 -7.68433	 0	 -12.3091	 14658.2	 14978.3	 15682.2	 16867	 18614.2	 20938.5	 23754	 26871.7	 30031.2	 32958.4	 35430	 37321.6	 38623.6	 39510.7	 43585.5	 51350.4	 60967.3	 71634.9	 82840.2	 94184.1	 
