Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 
0	 23.852	 13.7918	 -28.5964	 20.3535	 11.7709	 -25.011	 16.9097	 9.78179	 -21.3555	 13.5201	 7.82388	 -17.6331	 10.1838	 5.89678	 -13.8469	 6.9	 4	 -10	 242192	 246045	 249971	 253967	 258029	 
0.1	 23.852	 13.7917	 -28.5966	 20.3534	 11.7709	 -25.0111	 16.9097	 9.78174	 -21.3556	 13.5201	 7.82385	 -17.6331	 10.1838	 5.89676	 -13.847	 6.9	 4	 -10	 242194	 246047	 249973	 253968	 258030	 
0.2	 23.8536	 13.7926	 -28.5988	 20.3545	 11.7715	 -25.0142	 16.9107	 9.78231	 -21.3587	 13.5211	 7.82441	 -17.6363	 10.1846	 5.89719	 -13.8505	 6.90024	 4	 -10.0042	 238404	 242253	 246176	 250169	 254229	 
0.3	 23.857	 13.7945	 -28.6046	 20.3565	 11.7726	 -25.0219	 16.9123	 9.78319	 -21.367	 13.5224	 7.82517	 -17.645	 10.1858	 5.8975	 -13.8595	 6.90369	 4	 -10.0116	 230774	 234479	 238292	 242208	 246229	 
0.4	 23.8603	 13.7965	 -28.6137	 20.3584	 11.7737	 -25.0328	 16.913	 9.78353	 -21.3794	 13.5227	 7.82499	 -17.658	 10.1871	 5.89689	 -13.8718	 6.90708	 4	 -10.0217	 236672	 240302	 244055	 247931	 251932	 
0.5	 23.8615	 13.7971	 -28.6242	 20.3603	 11.7747	 -25.0422	 16.9134	 9.78349	 -21.3907	 13.5229	 7.824	 -17.6698	 10.1888	 5.8962	 -13.882	 6.9067	 4	 -10.0332	 250498	 254169	 257954	 261856	 265872	 
0.6	 23.8605	 13.7965	 -28.6341	 20.3625	 11.7758	 -25.0479	 16.9162	 9.78424	 -21.3959	 13.5259	 7.82412	 -17.6751	 10.1899	 5.89689	 -13.8886	 6.90131	 4	 -10.0457	 257420	 261258	 265171	 269162	 273220	 
0.7	 23.858	 13.7949	 -28.6404	 20.3636	 11.7756	 -25.05	 16.9214	 9.78572	 -21.3934	 13.5305	 7.82635	 -17.6728	 10.1872	 5.8985	 -13.8931	 6.88986	 4	 -10.0586	 246864	 250795	 254777	 258807	 262875	 
0.8	 23.8553	 13.7929	 -28.6413	 20.3623	 11.7736	 -25.0496	 16.9239	 9.78641	 -21.3881	 13.5303	 7.8288	 -17.6692	 10.1781	 5.89956	 -13.8982	 6.87192	 4	 -10.0719	 238135	 242169	 246232	 250307	 254392	 
0.9	 23.853	 13.7906	 -28.6363	 20.3588	 11.7707	 -25.0461	 16.9181	 9.78493	 -21.386	 13.5198	 7.82865	 -17.6706	 10.1613	 5.89954	 -13.9052	 6.84761	 4	 -10.0854	 240150	 244239	 248345	 252448	 256547	 
1	 23.851	 13.7881	 -28.6262	 20.3527	 11.7686	 -25.0397	 16.9028	 9.78157	 -21.3887	 13.4984	 7.82538	 -17.6788	 10.1367	 5.89856	 -13.915	 6.81755	 4	 -10.0993	 251950	 256096	 260246	 264389	 268513	 
