Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 
0	 0	 -8.35923	 -37.0023	 0	 -8.28104	 -31.602	 0	 -8.20615	 -26.2016	 0	 -8.13461	 -20.8012	 0	 -8.06607	 -15.4006	 0	 -8	 -10	 121627	 125914	 130900	 136305	 141929	 
0.1	 1.15802e-032	 -8.35574	 -37.0027	 4.25759e-030	 -8.27842	 -31.6023	 4.40718e-028	 -8.20428	 -26.2018	 2.03156e-026	 -8.13343	 -20.8013	 1.32647e-025	 -8.06553	 -15.4007	 -5.96124e-024	 -8	 -10	 129774	 134895	 140161	 145582	 151165	 
0.2	 -4.80504e-014	 -8.35241	 -37.0095	 -2.04726e-011	 -8.27591	 -31.6089	 -2.13436e-009	 -8.20265	 -26.2083	 -3.68993e-008	 -8.13245	 -20.8076	 7.58016e-006	 -8.06501	 -15.4068	 0.000243834	 -8	 -10.006	 150283	 156273	 162194	 168054	 173857	 
0.3	 -1.23358e-011	 -8.34923	 -37.0199	 1.20394e-009	 -8.27347	 -31.6194	 2.51393e-007	 -8.20111	 -26.2188	 1.61301e-005	 -8.13152	 -20.8182	 0.00045132	 -8.06449	 -15.4174	 0.00369092	 -8	 -10.0166	 142142	 147972	 153773	 159551	 165313	 
0.4	 3.16787e-009	 -8.34618	 -37.0343	 3.70094e-007	 -8.27114	 -31.6339	 1.28015e-005	 -8.19954	 -26.2333	 0.000243795	 -8.13057	 -20.8326	 0.00218073	 -8.064	 -15.4319	 0.0070894	 -8	 -10.0311	 141446	 147241	 153016	 158776	 164528	 
0.5	 1.66868e-007	 -8.34323	 -37.0506	 8.38483e-006	 -8.26894	 -31.6501	 0.000134701	 -8.19789	 -26.2495	 0.00119833	 -8.12952	 -20.8489	 0.00484086	 -8.06355	 -15.4482	 0.00671436	 -8	 -10.0474	 138410	 144204	 149981	 155745	 161498	 
0.6	 2.69001e-006	 -8.34036	 -37.0679	 7.38555e-005	 -8.26681	 -31.6675	 0.00066218	 -8.19618	 -26.2669	 0.0031769	 -8.12838	 -20.8663	 0.00616908	 -8.06309	 -15.4656	 0.00133054	 -8	 -10.0648	 136353	 142117	 147874	 153624	 159374	 
0.7	 2.20304e-005	 -8.33753	 -37.0859	 0.000362322	 -8.26463	 -31.6854	 0.0019666	 -8.19448	 -26.2849	 0.00526236	 -8.12721	 -20.8842	 0.00333339	 -8.06254	 -15.4835	 -0.0101026	 -8	 -10.0828	 135202	 140960	 146712	 152462	 158204	 
0.8	 0.000113419	 -8.33471	 -37.1039	 0.00116026	 -8.26237	 -31.7035	 0.00389888	 -8.19282	 -26.3029	 0.0050673	 -8.12605	 -20.9023	 -0.00551155	 -8.06189	 -15.5016	 -0.0280194	 -8	 -10.1009	 134218	 139967	 145714	 151460	 157191	 
0.9	 0.000409231	 -8.33184	 -37.1221	 0.0025997	 -8.26004	 -31.7216	 0.00509614	 -8.19117	 -26.321	 -0.00016092	 -8.12492	 -20.9204	 -0.0207241	 -8.06121	 -15.5197	 -0.0523108	 -8	 -10.1191	 133825	 139571	 145317	 151053	 156773	 
