Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Node6px 	 Node6py 	 Node6pz 	 Node7px 	 Node7py 	 Node7pz 	 Node8px 	 Node8py 	 Node8pz 	 Node9px 	 Node9py 	 Node9pz 	 Node10px 	 Node10py 	 Node10pz 	 Node11px 	 Node11py 	 Node11pz 	 Node12px 	 Node12py 	 Node12pz 	 Node13px 	 Node13py 	 Node13pz 	 Node14px 	 Node14py 	 Node14pz 	 Node15px 	 Node15py 	 Node15pz 	 Node16px 	 Node16py 	 Node16pz 	 Node17px 	 Node17py 	 Node17pz 	 Node18px 	 Node18py 	 Node18pz 	 Node19px 	 Node19py 	 Node19pz 	 Node20px 	 Node20py 	 Node20pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 Seg5Te 	 Seg6Te 	 Seg7Te 	 Seg8Te 	 Seg9Te 	 Seg10Te 	 Seg11Te 	 Seg12Te 	 Seg13Te 	 Seg14Te 	 Seg15Te 	 Seg16Te 	 Seg17Te 	 Seg18Te 	 Seg19Te 	 
0	 124	 -215	 -70	 117.648	 -203.254	 -70.0137	 111.296	 -191.508	 -70.0139	 104.943	 -179.761	 -70.0139	 98.5913	 -168.015	 -70.0139	 92.2391	 -156.269	 -70.0139	 85.887	 -144.523	 -70.0139	 79.5348	 -132.776	 -70.0137	 73.1826	 -121.03	 -70.0003	 66.8441	 -109.309	 -69.1241	 60.5468	 -97.6645	 -67.3728	 54.3161	 -86.1429	 -64.7729	 48.1745	 -74.786	 -61.3631	 42.1429	 -63.6325	 -57.1738	 36.2391	 -52.7154	 -52.2451	 30.4747	 -42.0561	 -46.634	 24.8611	 -31.6756	 -40.3834	 19.404	 -21.5846	 -33.5472	 14.1078	 -11.791	 -26.1729	 8.97288	 -2.29569	 -18.3103	 4	 6.9	 -10	 214555	 214555	 214554	 214554	 214553	 214552	 214551	 214549	 215011	 216411	 218730	 221928	 225969	 230821	 236431	 242745	 249711	 257276	 265387	 273995	 
0.1	 124	 -215	 -70	 117.648	 -203.254	 -70.0137	 111.296	 -191.508	 -70.0139	 104.943	 -179.761	 -70.0139	 98.5913	 -168.015	 -70.0139	 92.2391	 -156.269	 -70.0139	 85.887	 -144.523	 -70.0139	 79.5348	 -132.776	 -70.0137	 73.1826	 -121.03	 -70.0003	 66.8442	 -109.309	 -69.1228	 60.5468	 -97.6645	 -67.3718	 54.3161	 -86.1429	 -64.7726	 48.1744	 -74.7859	 -61.363	 42.1428	 -63.6323	 -57.1742	 36.2388	 -52.715	 -52.246	 30.4749	 -42.0565	 -46.6329	 24.8609	 -31.6753	 -40.3837	 19.4039	 -21.5844	 -33.5474	 14.1076	 -11.7906	 -26.1734	 8.97266	 -2.29527	 -18.3109	 4	 6.9	 -10	 214378	 214378	 214379	 214379	 214379	 214380	 214381	 214382	 214847	 216249	 218568	 221766	 225806	 230658	 236269	 242582	 249547	 257111	 265220	 273828	 
0.2	 124	 -215	 -70	 117.649	 -203.255	 -70.0137	 111.297	 -191.511	 -70.0139	 104.946	 -179.766	 -70.0139	 98.5945	 -168.021	 -70.0139	 92.243	 -156.276	 -70.0139	 85.8914	 -144.531	 -70.0139	 79.5397	 -132.786	 -70.0137	 73.188	 -121.04	 -70.0006	 66.8499	 -109.32	 -69.1278	 60.5527	 -97.6754	 -67.3791	 54.3221	 -86.1539	 -64.7829	 48.1805	 -74.7972	 -61.3744	 42.1489	 -63.6436	 -57.1874	 36.2447	 -52.7258	 -52.262	 30.4812	 -42.0681	 -46.6483	 24.8667	 -31.6861	 -40.4021	 19.4097	 -21.5951	 -33.567	 14.113	 -11.8007	 -26.1951	 8.97801	 -2.30499	 -18.3339	 4.00392	 6.9	 -10.0355	 116530	 118462	 122265	 127781	 134710	 142591	 150837	 158827	 166380	 173714	 180520	 186875	 192992	 199128	 205499	 212252	 219462	 227159	 235327	 243931	 
0.3	 124	 -215	 -70	 117.649	 -203.256	 -70.0137	 111.298	 -191.512	 -70.0139	 104.947	 -179.767	 -70.0139	 98.5955	 -168.023	 -70.0139	 92.2442	 -156.278	 -70.0139	 85.893	 -144.534	 -70.0139	 79.5416	 -132.789	 -70.0137	 73.1902	 -121.044	 -70.0011	 66.8515	 -109.323	 -69.1586	 60.5546	 -97.6789	 -67.4115	 54.3241	 -86.1577	 -64.8176	 48.1831	 -74.8019	 -61.409	 42.1518	 -63.649	 -57.2226	 36.2477	 -52.7314	 -52.2996	 30.4848	 -42.0749	 -46.6854	 24.8705	 -31.693	 -40.4413	 19.4137	 -21.6025	 -33.6077	 14.1171	 -11.8081	 -26.2379	 8.98222	 -2.3119	 -18.3794	 4.00708	 6.9	 -10.0913	 86948.5	 88621.4	 91887.8	 96558.4	 102299	 108623	 114937	 120633	 125468	 129825	 133340	 136182	 138688	 141248	 144226	 147903	 152477	 158074	 164757	 172540	 
0.4	 124	 -215	 -70	 117.649	 -203.256	 -70.0137	 111.298	 -191.512	 -70.0139	 104.947	 -179.767	 -70.0139	 98.5956	 -168.023	 -70.0139	 92.2444	 -156.279	 -70.0139	 85.8931	 -144.534	 -70.0139	 79.5419	 -132.789	 -70.0137	 73.1905	 -121.045	 -70.0017	 66.8498	 -109.32	 -69.2286	 60.5529	 -97.6757	 -67.484	 54.3223	 -86.1544	 -64.8911	 48.1814	 -74.7989	 -61.4812	 42.1503	 -63.6463	 -57.2939	 36.2461	 -52.7285	 -52.3715	 30.4835	 -42.0724	 -46.7561	 24.8692	 -31.6906	 -40.5119	 19.4123	 -21.6	 -33.6783	 14.1156	 -11.8053	 -26.3089	 8.9806	 -2.30732	 -18.4524	 4.00731	 6.9	 -10.158	 84487.8	 85967.9	 88841.2	 92922.8	 97920.3	 103444	 109048	 114297	 119046	 123770	 128182	 132333	 136419	 140666	 145286	 150444	 156252	 162786	 170078	 178128	 
0.5	 124	 -215	 -70	 117.649	 -203.256	 -70.0137	 111.298	 -191.511	 -70.0139	 104.946	 -179.767	 -70.0139	 98.5952	 -168.022	 -70.0139	 92.2439	 -156.278	 -70.0139	 85.8926	 -144.533	 -70.0139	 79.5413	 -132.788	 -70.0137	 73.1898	 -121.044	 -70.0023	 66.8464	 -109.313	 -69.3329	 60.5489	 -97.6683	 -67.5949	 54.3182	 -86.1467	 -65.0023	 48.1774	 -74.7914	 -61.5905	 42.1464	 -63.639	 -57.4016	 36.2421	 -52.7211	 -52.4788	 30.4796	 -42.0652	 -46.8625	 24.8654	 -31.6836	 -40.6169	 19.4085	 -21.5929	 -33.783	 14.1117	 -11.7979	 -26.4135	 8.97666	 -2.29797	 -18.559	 4.00777	 6.9	 -10.251	 96304.9	 97338.7	 99471.8	 102777	 107242	 112698	 118786	 125005	 130982	 136961	 142593	 147698	 152405	 156968	 161679	 166788	 172480	 178872	 186016	 193932	 
0.6	 124	 -215	 -70	 117.649	 -203.255	 -70.0137	 111.297	 -191.51	 -70.0139	 104.946	 -179.766	 -70.0139	 98.5943	 -168.021	 -70.0139	 92.2428	 -156.276	 -70.0139	 85.8912	 -144.531	 -70.0139	 79.5396	 -132.785	 -70.0137	 73.188	 -121.04	 -70.0029	 66.8416	 -109.305	 -69.4563	 60.543	 -97.6574	 -67.7336	 54.3121	 -86.1355	 -65.141	 48.1714	 -74.7803	 -61.7272	 42.1405	 -63.6282	 -57.5364	 36.2363	 -52.7104	 -52.6122	 30.4737	 -42.0543	 -46.9955	 24.8599	 -31.6734	 -40.7478	 19.4029	 -21.5825	 -33.9135	 14.1062	 -11.7871	 -26.544	 8.97148	 -2.286	 -18.6901	 4.00987	 6.9	 -10.3641	 123406	 124570	 126912	 130415	 134955	 140249	 145856	 151244	 156031	 160655	 165049	 169015	 172752	 176552	 180713	 185455	 190919	 197166	 204195	 212012	 
0.7	 124	 -215	 -70	 117.648	 -203.255	 -70.0137	 111.297	 -191.51	 -70.0139	 104.945	 -179.764	 -70.0139	 98.5934	 -168.019	 -70.0139	 92.2416	 -156.274	 -70.0139	 85.8899	 -144.528	 -70.0139	 79.5381	 -132.782	 -70.0137	 73.1862	 -121.037	 -70.0034	 66.8376	 -109.297	 -69.5784	 60.5369	 -97.6461	 -67.886	 54.3057	 -86.1237	 -65.2944	 48.165	 -74.7685	 -61.8792	 42.1343	 -63.6166	 -57.6866	 36.2302	 -52.6991	 -52.7607	 30.4673	 -42.0425	 -47.1443	 24.8539	 -31.6623	 -40.8944	 19.3968	 -21.5712	 -34.0599	 14.1002	 -11.7751	 -26.6905	 8.9668	 -2.27457	 -18.8346	 4.01438	 6.9	 -10.49	 149701	 151083	 153756	 157525	 162074	 166977	 171741	 175892	 179152	 182306	 185563	 188695	 191886	 195382	 199402	 204086	 209520	 215725	 222688	 230446	 
0.8	 124	 -215	 -70	 117.648	 -203.255	 -70.0137	 111.297	 -191.51	 -70.0139	 104.945	 -179.764	 -70.0139	 98.5934	 -168.019	 -70.0139	 92.2416	 -156.273	 -70.0139	 85.8898	 -144.528	 -70.0139	 79.538	 -132.782	 -70.0137	 73.1862	 -121.037	 -70.004	 66.8361	 -109.294	 -69.6827	 60.5324	 -97.6379	 -68.0405	 54.3009	 -86.1147	 -65.4533	 48.1602	 -74.7595	 -62.0378	 42.1296	 -63.6079	 -57.8441	 36.2258	 -52.6908	 -52.9168	 30.4626	 -42.0337	 -47.3017	 24.8495	 -31.6542	 -41.0504	 19.3924	 -21.5628	 -34.2163	 14.0961	 -11.766	 -26.8477	 8.96536	 -2.26828	 -18.9865	 4.02261	 6.9	 -10.6293	 150164	 151612	 154399	 158300	 162968	 167955	 172769	 176946	 180189	 183353	 186696	 189956	 193257	 196818	 200838	 205456	 210770	 216819	 223624	 231277	 
0.9	 124	 -215	 -70	 117.649	 -203.255	 -70.0137	 111.297	 -191.51	 -70.0139	 104.946	 -179.765	 -70.0139	 98.5943	 -168.021	 -70.0139	 92.2427	 -156.276	 -70.0139	 85.8912	 -144.53	 -70.0139	 79.5396	 -132.785	 -70.0137	 73.1879	 -121.04	 -70.0046	 66.8372	 -109.297	 -69.7685	 60.5298	 -97.6331	 -68.1942	 54.2975	 -86.1085	 -65.6168	 48.1569	 -74.7535	 -62.2024	 42.1266	 -63.6024	 -58.0084	 36.2231	 -52.6859	 -53.0804	 30.4598	 -42.0285	 -47.4672	 24.847	 -31.6495	 -41.2157	 19.39	 -21.5579	 -34.3825	 14.0943	 -11.7607	 -27.0148	 8.96797	 -2.26779	 -19.1458	 4.03551	 6.9	 -10.7826	 123379	 124911	 127867	 132018	 137011	 142386	 147634	 152269	 155947	 159389	 162838	 166121	 169347	 172747	 176540	 180890	 185920	 191693	 198262	 205749	 
